CSDUID,CSD Name,Year,Indicator,Value
4818015,Greenview No. 16,2001,Number of Businesses,227
4818018,Valleyview,2001,Number of Businesses,256
4818816,Sturgeon Lake 154,2001,Number of Businesses,6
4818818,Sturgeon Lake 154A,2001,Number of Businesses,620
4819008,Hythe,2001,Number of Businesses,86
4819009,Beaverlodge,2001,Number of Businesses,247
4819011,Wembley,2001,Number of Businesses,117
4819012,Grande Prairie,2001,Number of Businesses,2115
4819014,Sexsmith,2001,Number of Businesses,200
4819038,Peace River,2001,Number of Businesses,287
4819041,Smoky River No. 130,2001,Number of Businesses,22
4819042,McLennan,2001,Number of Businesses,53
4819044,Donnelly,2001,Number of Businesses,17
4819046,Falher,2001,Number of Businesses,138
4819048,Girouxville,2001,Number of Businesses,74
4819049,Birch Hills County,2001,Number of Businesses,132
4819056,Rycroft,2001,Number of Businesses,63
4819058,Spirit River,2001,Number of Businesses,161
4819059,Saddle Hills County,2001,Number of Businesses,78
4819066,Fairview No. 136,2001,Number of Businesses,17
4819068,Fairview,2001,Number of Businesses,323
4819071,Peace No. 135,2001,Number of Businesses,8
4819072,Berwyn,2001,Number of Businesses,37
4819074,Grimshaw,2001,Number of Businesses,206
4801003,Cypress County,2002,Number of Businesses,474
4801006,Medicine Hat,2002,Number of Businesses,2136
4801008,Forty Mile County No. 8,2002,Number of Businesses,144
4801009,Foremost,2002,Number of Businesses,90
4801014,Bow Island,2002,Number of Businesses,153
4801018,Redcliff,2002,Number of Businesses,181
4802001,Warner County No. 5,2002,Number of Businesses,74
4802002,Coutts,2002,Number of Businesses,27
4802004,Milk River,2002,Number of Businesses,88
4802006,Warner,2002,Number of Businesses,48
4802008,Raymond,2002,Number of Businesses,103
4802009,Stirling,2002,Number of Businesses,30
4802011,Lethbridge County,2002,Number of Businesses,620
4802012,Lethbridge,2002,Number of Businesses,2795
4802013,Coalhurst,2002,Number of Businesses,53
4802014,Nobleford,2002,Number of Businesses,29
4802016,Barons,2002,Number of Businesses,17
4802018,Picture Butte,2002,Number of Businesses,166
4802019,Coaldale,2002,Number of Businesses,124
4802022,Taber,2002,Number of Businesses,654
4802023,Barnwell,2002,Number of Businesses,25
4802029,Vauxhall,2002,Number of Businesses,114
4802031,Newell County,2002,Number of Businesses,568
4813018,Barrhead County No. 11,2002,Number of Businesses,374
4802034,Brooks,2002,Number of Businesses,329
4802036,Duchess,2002,Number of Businesses,63
4802038,Rosemary,2002,Number of Businesses,25
4802039,Bassano,2002,Number of Businesses,100
4803001,Cardston County,2002,Number of Businesses,47
4803002,Magrath,2002,Number of Businesses,78
4812038,Improvement District No. 349,2002,Number of Businesses,98
4803004,Cardston,2002,Number of Businesses,185
4803006,Glenwood,2002,Number of Businesses,11
4810058,Lamont County,2002,Number of Businesses,7
4803011,Pincher Creek No. 9,2002,Number of Businesses,32
4803014,Pincher Creek,2002,Number of Businesses,307
4803016,Cowley,2002,Number of Businesses,19
4803018,Willow Creek No. 26,2002,Number of Businesses,3
4803019,Fort Macleod,2002,Number of Businesses,234
4803021,Granum,2002,Number of Businesses,28
4803022,Claresholm,2002,Number of Businesses,235
4803024,Stavely,2002,Number of Businesses,32
4803026,Nanton,2002,Number of Businesses,157
4803802,Blood 148,2002,Number of Businesses,18
4804001,Acadia No. 34,2002,Number of Businesses,26
4804004,Special Area No. 2,2002,Number of Businesses,55
4804006,Empress,2002,Number of Businesses,14
4804011,Hanna,2002,Number of Businesses,200
4804012,Special Area No. 3,2002,Number of Businesses,33
4804014,Oyen,2002,Number of Businesses,93
4804016,Cereal,2002,Number of Businesses,18
4804019,Youngstown,2002,Number of Businesses,24
4804020,Special Area No. 4,2002,Number of Businesses,33
4804021,Veteran,2002,Number of Businesses,38
4804022,Consort,2002,Number of Businesses,120
4805001,Vulcan County,2002,Number of Businesses,145
4805002,Carmangay,2002,Number of Businesses,20
4805004,Champion,2002,Number of Businesses,33
4805006,Vulcan,2002,Number of Businesses,147
4805011,Arrowwood,2002,Number of Businesses,34
4805012,Wheatland County,2002,Number of Businesses,307
4805018,Strathmore,2002,Number of Businesses,294
4805021,Standard,2002,Number of Businesses,51
4805026,Drumheller,2002,Number of Businesses,426
4805031,Starland County,2002,Number of Businesses,12
4805034,Delia,2002,Number of Businesses,23
4805036,Munson,2002,Number of Businesses,5
4805038,Morrin,2002,Number of Businesses,13
4805041,Kneehill County,2002,Number of Businesses,39
4805042,Carbon,2002,Number of Businesses,43
4805044,Acme,2002,Number of Businesses,58
4805046,Linden,2002,Number of Businesses,58
4805048,Three Hills,2002,Number of Businesses,200
4805049,Trochu,2002,Number of Businesses,110
4805802,Siksika 146,2002,Number of Businesses,28
4806001,Foothills No. 31,2002,Number of Businesses,1182
4806006,High River,2002,Number of Businesses,302
4806009,Turner Valley,2002,Number of Businesses,95
4806011,Black Diamond,2002,Number of Businesses,78
4806012,Okotoks,2002,Number of Businesses,436
4806014,Rocky View County,2002,Number of Businesses,1885
4806016,Calgary,2002,Number of Businesses,40721
4806017,Chestermere,2002,Number of Businesses,176
4806019,Cochrane,2002,Number of Businesses,532
4806021,Airdrie,2002,Number of Businesses,472
4806022,Irricana,2002,Number of Businesses,59
4806024,Beiseker,2002,Number of Businesses,75
4806026,Crossfield,2002,Number of Businesses,184
4806028,Mountain View County,2002,Number of Businesses,171
4806029,Carstairs,2002,Number of Businesses,159
4806031,Cremona,2002,Number of Businesses,51
4806032,Didsbury,2002,Number of Businesses,255
4806034,Olds,2002,Number of Businesses,435
4806036,Sundre,2002,Number of Businesses,331
4806803,Eden Valley 216,2002,Number of Businesses,35
4807001,Provost No. 52,2002,Number of Businesses,61
4807002,Provost,2002,Number of Businesses,294
4807004,Czar,2002,Number of Businesses,48
4807006,Hughenden,2002,Number of Businesses,41
4807008,Amisk,2002,Number of Businesses,19
4807011,Paintearth County No. 18,2002,Number of Businesses,23
4807012,Coronation,2002,Number of Businesses,156
4807014,Castor,2002,Number of Businesses,99
4807019,Stettler County No. 6,2002,Number of Businesses,100
4807021,Big Valley,2002,Number of Businesses,37
4807024,Botha,2002,Number of Businesses,16
4807026,Stettler,2002,Number of Businesses,527
4807031,Flagstaff County,2002,Number of Businesses,40
4807034,Galahad,2002,Number of Businesses,24
4807036,Forestburg,2002,Number of Businesses,76
4807038,Heisler,2002,Number of Businesses,24
4807039,Daysland,2002,Number of Businesses,74
4807041,Strome,2002,Number of Businesses,31
4807042,Killam,2002,Number of Businesses,110
4807044,Sedgewick,2002,Number of Businesses,125
4807046,Lougheed,2002,Number of Businesses,52
4807048,Hardisty,2002,Number of Businesses,102
4807049,Wainwright No. 61,2002,Number of Businesses,138
4807051,Chauvin,2002,Number of Businesses,54
4807052,Edgerton,2002,Number of Businesses,58
4807054,Wainwright,2002,Number of Businesses,318
4807056,Irma,2002,Number of Businesses,63
4808001,Red Deer County,2002,Number of Businesses,999
4808002,Elnora,2002,Number of Businesses,21
4808004,Delburne,2002,Number of Businesses,78
4808005,Jarvis Bay,2002,Number of Businesses,6
4808006,Bowden,2002,Number of Businesses,91
4808008,Innisfail,2002,Number of Businesses,312
4808009,Penhold,2002,Number of Businesses,77
4808011,Red Deer,2002,Number of Businesses,3244
4808012,Sylvan Lake,2002,Number of Businesses,331
4808013,Norglenwold,2002,Number of Businesses,7
4808022,Lacombe County,2002,Number of Businesses,87
4808023,Birchcliff,2002,Number of Businesses,5
4808024,Eckville,2002,Number of Businesses,168
4808025,Half Moon Bay,2002,Number of Businesses,3
4808026,Bentley,2002,Number of Businesses,126
4808029,Blackfalds,2002,Number of Businesses,163
4808031,Lacombe,2002,Number of Businesses,696
4808032,Clive,2002,Number of Businesses,55
4808034,Alix,2002,Number of Businesses,57
4808038,Ponoka County,2002,Number of Businesses,279
4808039,Ponoka,2002,Number of Businesses,257
4808044,Rimbey,2002,Number of Businesses,263
4808813,Montana 139,2002,Number of Businesses,11
4809002,Clearwater County,2002,Number of Businesses,457
4809015,Rocky Mountain House,2002,Number of Businesses,615
4810001,Camrose County,2002,Number of Businesses,256
4810002,Bashaw,2002,Number of Businesses,80
4810006,Edberg,2002,Number of Businesses,26
4810009,Bawlf,2002,Number of Businesses,34
4810011,Camrose,2002,Number of Businesses,698
4810012,Bittern Lake,2002,Number of Businesses,11
4810014,Hay Lakes,2002,Number of Businesses,31
4810016,Beaver County,2002,Number of Businesses,27
4810018,Tofield,2002,Number of Businesses,174
4810019,Ryley,2002,Number of Businesses,34
4810021,Holden,2002,Number of Businesses,22
4810022,Viking,2002,Number of Businesses,128
4810026,Minburn County No. 27,2002,Number of Businesses,169
4810028,Vegreville,2002,Number of Businesses,186
4810031,Innisfree,2002,Number of Businesses,29
4810034,Mannville,2002,Number of Businesses,65
4810036,Vermilion River County,2002,Number of Businesses,538
4810039,Lloydminster (Part),2002,Number of Businesses,924
4810041,Kitscoty,2002,Number of Businesses,72
4810042,Vermilion,2002,Number of Businesses,196
4810044,Marwayne,2002,Number of Businesses,64
4810048,Two Hills County No. 21,2002,Number of Businesses,55
4819006,Grande Prairie County No. 1,2002,Number of Businesses,627
4810051,Myrnam,2002,Number of Businesses,17
4810052,Two Hills,2002,Number of Businesses,78
4810056,Willingdon,2002,Number of Businesses,25
4810059,Andrew,2002,Number of Businesses,31
4810061,Mundare,2002,Number of Businesses,32
4810062,Chipman,2002,Number of Businesses,9
4810064,Lamont,2002,Number of Businesses,84
4810066,Bruderheim,2002,Number of Businesses,47
4811001,Wetaskiwin County No. 10,2002,Number of Businesses,450
4811002,Wetaskiwin,2002,Number of Businesses,462
4817076,Northern Lights County,2002,Number of Businesses,314
4811011,Millet,2002,Number of Businesses,162
4811012,Leduc County,2002,Number of Businesses,781
4811013,Beaumont,2002,Number of Businesses,230
4811016,Leduc,2002,Number of Businesses,668
4811018,Devon,2002,Number of Businesses,189
4811019,Calmar,2002,Number of Businesses,152
4811021,Thorsby,2002,Number of Businesses,115
4811024,Warburg,2002,Number of Businesses,74
4811026,Breton,2002,Number of Businesses,103
4811031,Drayton Valley,2002,Number of Businesses,320
4811032,Brazeau County,2002,Number of Businesses,545
4811034,Parkland County,2002,Number of Businesses,1201
4811045,Wabamun,2002,Number of Businesses,45
4811048,Stony Plain,2002,Number of Businesses,384
4811049,Spruce Grove,2002,Number of Businesses,568
4811052,Strathcona County,2002,Number of Businesses,2953
4811056,Fort Saskatchewan,2002,Number of Businesses,419
4811061,Edmonton,2002,Number of Businesses,29202
4811062,St. Albert,2002,Number of Businesses,1910
4811064,Gibbons,2002,Number of Businesses,120
4811065,Redwater,2002,Number of Businesses,143
4811066,Bon Accord,2002,Number of Businesses,51
4811068,Morinville,2002,Number of Businesses,184
4811069,Legal,2002,Number of Businesses,80
4811803,Louis Bull 138B,2002,Number of Businesses,55
4811804,Stony Plain 135,2002,Number of Businesses,17
4811805,Alexander 134,2002,Number of Businesses,4
4811806,Wabamun 133A,2002,Number of Businesses,32
4812002,Cold Lake,2002,Number of Businesses,91
4812004,Bonnyville No. 87,2002,Number of Businesses,502
4812009,Bonnyville,2002,Number of Businesses,335
4812012,Glendon,2002,Number of Businesses,53
4812014,St. Paul County No. 19,2002,Number of Businesses,495
4812016,Elk Point,2002,Number of Businesses,134
4812018,St. Paul,2002,Number of Businesses,23
4812022,Smoky Lake County,2002,Number of Businesses,58
4812024,Vilna,2002,Number of Businesses,27
4812029,Smoky Lake,2002,Number of Businesses,104
4815015,Bighorn No. 8,2002,Number of Businesses,385
4812802,Unipouheos 121,2002,Number of Businesses,10
4813061,Whispering Hills,2002,Number of Businesses,16
4812810,Cold Lake 149,2002,Number of Businesses,33
4812811,Kehewin 123,2002,Number of Businesses,35
4813001,Lac Ste. Anne County,2002,Number of Businesses,137
4813002,Mayerthorpe,2002,Number of Businesses,172
4817031,Opportunity No. 17,2002,Number of Businesses,210
4813014,Onoway,2002,Number of Businesses,149
4813019,Barrhead,2002,Number of Businesses,177
4813028,Westlock County,2002,Number of Businesses,146
4813029,Woodlands County,2002,Number of Businesses,890
4813030,Whitecourt,2002,Number of Businesses,308
4813031,Westlock,2002,Number of Businesses,394
4813032,Clyde,2002,Number of Businesses,45
4813036,Thorhild County No. 7,2002,Number of Businesses,28
4813044,Athabasca County,2002,Number of Businesses,366
4813046,Boyle,2002,Number of Businesses,109
4813048,Athabasca,2002,Number of Businesses,162
4813049,Island Lake,2002,Number of Businesses,5
4813051,Island Lake South,2002,Number of Businesses,1
4813055,South Baptiste,2002,Number of Businesses,2
4813057,West Baptiste,2002,Number of Businesses,2
4813811,Alexis 133,2002,Number of Businesses,10
4814003,Yellowhead County,2002,Number of Businesses,724
4814019,Hinton,2002,Number of Businesses,437
4814024,Edson,2002,Number of Businesses,357
4815007,Crowsnest Pass,2002,Number of Businesses,269
4815023,Canmore,2002,Number of Businesses,691
4815033,Jasper,2002,Number of Businesses,291
4815035,Banff,2002,Number of Businesses,494
4816037,Wood Buffalo,2002,Number of Businesses,1395
4816817,Janvier 194,2002,Number of Businesses,13
4816822,Gregoire Lake 176A,2002,Number of Businesses,28
4817021,High Prairie,2002,Number of Businesses,341
4817024,Swan Hills,2002,Number of Businesses,141
4817027,Big Lakes,2002,Number of Businesses,66
4817029,Slave Lake,2002,Number of Businesses,50
4817033,Lesser Slave River No.124,2002,Number of Businesses,629
4817039,Nampa,2002,Number of Businesses,58
4817825,Clear Hills 152C,2002,Number of Businesses,83
4817064,Hines Creek,2002,Number of Businesses,68
4817078,Manning,2002,Number of Businesses,194
4817093,High Level,2002,Number of Businesses,310
4817095,Mackenzie County,2002,Number of Businesses,338
4817097,Rainbow Lake,2002,Number of Businesses,77
4817819,Wabasca 166A,2002,Number of Businesses,6
4817831,Swan River 150E,2002,Number of Businesses,25
4817835,Fox Lake 162,2002,Number of Businesses,1
4817845,Hay Lake 209,2002,Number of Businesses,6
4817856,Woodland Cree 226,2002,Number of Businesses,8
4818002,Fox Creek,2002,Number of Businesses,173
4818005,Grande Cache,2002,Number of Businesses,176
4818015,Greenview No. 16,2002,Number of Businesses,234
4818018,Valleyview,2002,Number of Businesses,269
4818816,Sturgeon Lake 154,2002,Number of Businesses,2
4818818,Sturgeon Lake 154A,2002,Number of Businesses,643
4819008,Hythe,2002,Number of Businesses,89
4819009,Beaverlodge,2002,Number of Businesses,260
4819011,Wembley,2002,Number of Businesses,118
4819012,Grande Prairie,2002,Number of Businesses,2234
4819014,Sexsmith,2002,Number of Businesses,212
4819038,Peace River,2002,Number of Businesses,273
4819041,Smoky River No. 130,2002,Number of Businesses,22
4819042,McLennan,2002,Number of Businesses,48
4819044,Donnelly,2002,Number of Businesses,17
4819046,Falher,2002,Number of Businesses,126
4819048,Girouxville,2002,Number of Businesses,73
4819049,Birch Hills County,2002,Number of Businesses,125
4819056,Rycroft,2002,Number of Businesses,66
4819058,Spirit River,2002,Number of Businesses,161
4819059,Saddle Hills County,2002,Number of Businesses,75
4819066,Fairview No. 136,2002,Number of Businesses,19
4819068,Fairview,2002,Number of Businesses,341
4819071,Peace No. 135,2002,Number of Businesses,6
4819072,Berwyn,2002,Number of Businesses,36
4819074,Grimshaw,2002,Number of Businesses,207
4801003,Cypress County,2003,Number of Businesses,460
4801006,Medicine Hat,2003,Number of Businesses,2214
4801008,Forty Mile County No. 8,2003,Number of Businesses,87
4801009,Foremost,2003,Number of Businesses,89
4801014,Bow Island,2003,Number of Businesses,152
4801018,Redcliff,2003,Number of Businesses,207
4802001,Warner County No. 5,2003,Number of Businesses,61
4802002,Coutts,2003,Number of Businesses,29
4802004,Milk River,2003,Number of Businesses,83
4802006,Warner,2003,Number of Businesses,45
4802008,Raymond,2003,Number of Businesses,104
4802009,Stirling,2003,Number of Businesses,29
4802011,Lethbridge County,2003,Number of Businesses,566
4802012,Lethbridge,2003,Number of Businesses,2878
4802013,Coalhurst,2003,Number of Businesses,52
4802014,Nobleford,2003,Number of Businesses,30
4802016,Barons,2003,Number of Businesses,15
4802018,Picture Butte,2003,Number of Businesses,168
4802019,Coaldale,2003,Number of Businesses,116
4802022,Taber,2003,Number of Businesses,646
4802023,Barnwell,2003,Number of Businesses,22
4802029,Vauxhall,2003,Number of Businesses,114
4802031,Newell County,2003,Number of Businesses,307
4813018,Barrhead County No. 11,2003,Number of Businesses,334
4802034,Brooks,2003,Number of Businesses,824
4802036,Duchess,2003,Number of Businesses,59
4802038,Rosemary,2003,Number of Businesses,30
4803001,Cardston County,2003,Number of Businesses,46
4803002,Magrath,2003,Number of Businesses,75
4812038,Improvement District No. 349,2003,Number of Businesses,159
4803004,Cardston,2003,Number of Businesses,200
4803006,Glenwood,2003,Number of Businesses,12
4810058,Lamont County,2003,Number of Businesses,9
4803011,Pincher Creek No. 9,2003,Number of Businesses,29
4803014,Pincher Creek,2003,Number of Businesses,312
4803016,Cowley,2003,Number of Businesses,16
4803018,Willow Creek No. 26,2003,Number of Businesses,25
4803019,Fort Macleod,2003,Number of Businesses,223
4803021,Granum,2003,Number of Businesses,27
4803022,Claresholm,2003,Number of Businesses,226
4803024,Stavely,2003,Number of Businesses,36
4803026,Nanton,2003,Number of Businesses,163
4803802,Blood 148,2003,Number of Businesses,20
4804001,Acadia No. 34,2003,Number of Businesses,27
4804004,Special Area No. 2,2003,Number of Businesses,57
4804006,Empress,2003,Number of Businesses,11
4804011,Hanna,2003,Number of Businesses,192
4804012,Special Area No. 3,2003,Number of Businesses,37
4804014,Oyen,2003,Number of Businesses,91
4804016,Cereal,2003,Number of Businesses,19
4804019,Youngstown,2003,Number of Businesses,22
4804020,Special Area No. 4,2003,Number of Businesses,34
4804021,Veteran,2003,Number of Businesses,35
4804022,Consort,2003,Number of Businesses,120
4805001,Vulcan County,2003,Number of Businesses,103
4805002,Carmangay,2003,Number of Businesses,19
4805006,Vulcan,2003,Number of Businesses,158
4805009,Milo,2003,Number of Businesses,29
4805011,Arrowwood,2003,Number of Businesses,32
4805012,Wheatland County,2003,Number of Businesses,309
4805018,Strathmore,2003,Number of Businesses,315
4805019,Hussar,2003,Number of Businesses,35
4805021,Standard,2003,Number of Businesses,54
4805022,Rockyford,2003,Number of Businesses,43
4805026,Drumheller,2003,Number of Businesses,464
4805031,Starland County,2003,Number of Businesses,11
4805034,Delia,2003,Number of Businesses,17
4805036,Munson,2003,Number of Businesses,5
4805038,Morrin,2003,Number of Businesses,18
4805041,Kneehill County,2003,Number of Businesses,41
4805042,Carbon,2003,Number of Businesses,35
4805044,Acme,2003,Number of Businesses,59
4805046,Linden,2003,Number of Businesses,57
4805048,Three Hills,2003,Number of Businesses,193
4805049,Trochu,2003,Number of Businesses,151
4805802,Siksika 146,2003,Number of Businesses,9
4806001,Foothills No. 31,2003,Number of Businesses,829
4806006,High River,2003,Number of Businesses,433
4806008,Longview,2003,Number of Businesses,37
4806009,Turner Valley,2003,Number of Businesses,94
4806011,Black Diamond,2003,Number of Businesses,88
4806012,Okotoks,2003,Number of Businesses,795
4806014,Rocky View County,2003,Number of Businesses,1655
4806016,Calgary,2003,Number of Businesses,41498
4806017,Chestermere,2003,Number of Businesses,170
4806019,Cochrane,2003,Number of Businesses,613
4806021,Airdrie,2003,Number of Businesses,736
4806022,Irricana,2003,Number of Businesses,40
4806024,Beiseker,2003,Number of Businesses,78
4806026,Crossfield,2003,Number of Businesses,170
4806028,Mountain View County,2003,Number of Businesses,168
4806029,Carstairs,2003,Number of Businesses,158
4806031,Cremona,2003,Number of Businesses,52
4806032,Didsbury,2003,Number of Businesses,258
4806034,Olds,2003,Number of Businesses,443
4806036,Sundre,2003,Number of Businesses,329
4807001,Provost No. 52,2003,Number of Businesses,62
4807002,Provost,2003,Number of Businesses,286
4807004,Czar,2003,Number of Businesses,47
4807006,Hughenden,2003,Number of Businesses,38
4807008,Amisk,2003,Number of Businesses,18
4807011,Paintearth County No. 18,2003,Number of Businesses,6
4807012,Coronation,2003,Number of Businesses,154
4807014,Castor,2003,Number of Businesses,100
4807016,Halkirk,2003,Number of Businesses,17
4807019,Stettler County No. 6,2003,Number of Businesses,69
4807021,Big Valley,2003,Number of Businesses,37
4807024,Botha,2003,Number of Businesses,16
4807026,Stettler,2003,Number of Businesses,512
4807029,Donalda,2003,Number of Businesses,29
4807032,Alliance,2003,Number of Businesses,41
4807034,Galahad,2003,Number of Businesses,22
4807036,Forestburg,2003,Number of Businesses,81
4807038,Heisler,2003,Number of Businesses,21
4807039,Daysland,2003,Number of Businesses,82
4807041,Strome,2003,Number of Businesses,36
4807042,Killam,2003,Number of Businesses,113
4807044,Sedgewick,2003,Number of Businesses,125
4807046,Lougheed,2003,Number of Businesses,46
4807048,Hardisty,2003,Number of Businesses,87
4807049,Wainwright No. 61,2003,Number of Businesses,140
4807051,Chauvin,2003,Number of Businesses,55
4807052,Edgerton,2003,Number of Businesses,60
4807054,Wainwright,2003,Number of Businesses,301
4807056,Irma,2003,Number of Businesses,63
4808001,Red Deer County,2003,Number of Businesses,979
4808002,Elnora,2003,Number of Businesses,20
4808004,Delburne,2003,Number of Businesses,81
4808005,Jarvis Bay,2003,Number of Businesses,11
4808006,Bowden,2003,Number of Businesses,81
4808008,Innisfail,2003,Number of Businesses,313
4808009,Penhold,2003,Number of Businesses,70
4808011,Red Deer,2003,Number of Businesses,3369
4808012,Sylvan Lake,2003,Number of Businesses,386
4808013,Norglenwold,2003,Number of Businesses,12
4808022,Lacombe County,2003,Number of Businesses,250
4808023,Birchcliff,2003,Number of Businesses,7
4808026,Bentley,2003,Number of Businesses,124
4808029,Blackfalds,2003,Number of Businesses,166
4808031,Lacombe,2003,Number of Businesses,691
4808032,Clive,2003,Number of Businesses,52
4808034,Alix,2003,Number of Businesses,57
4808038,Ponoka County,2003,Number of Businesses,205
4808039,Ponoka,2003,Number of Businesses,321
4808044,Rimbey,2003,Number of Businesses,269
4808813,Montana 139,2003,Number of Businesses,11
4809002,Clearwater County,2003,Number of Businesses,294
4809010,Caroline,2003,Number of Businesses,111
4809015,Rocky Mountain House,2003,Number of Businesses,674
4810001,Camrose County,2003,Number of Businesses,282
4810002,Bashaw,2003,Number of Businesses,80
4810006,Edberg,2003,Number of Businesses,28
4810009,Bawlf,2003,Number of Businesses,42
4810011,Camrose,2003,Number of Businesses,701
4810012,Bittern Lake,2003,Number of Businesses,11
4810014,Hay Lakes,2003,Number of Businesses,29
4810016,Beaver County,2003,Number of Businesses,222
4810019,Ryley,2003,Number of Businesses,41
4810021,Holden,2003,Number of Businesses,22
4810022,Viking,2003,Number of Businesses,141
4810026,Minburn County No. 27,2003,Number of Businesses,125
4810028,Vegreville,2003,Number of Businesses,257
4810032,Minburn,2003,Number of Businesses,8
4810034,Mannville,2003,Number of Businesses,69
4810036,Vermilion River County,2003,Number of Businesses,416
4810039,Lloydminster (Part),2003,Number of Businesses,964
4810041,Kitscoty,2003,Number of Businesses,67
4810042,Vermilion,2003,Number of Businesses,201
4810044,Marwayne,2003,Number of Businesses,58
4810046,Dewberry,2003,Number of Businesses,33
4810048,Two Hills County No. 21,2003,Number of Businesses,6
4819006,Grande Prairie County No. 1,2003,Number of Businesses,577
4810051,Myrnam,2003,Number of Businesses,16
4810052,Two Hills,2003,Number of Businesses,77
4810056,Willingdon,2003,Number of Businesses,23
4810059,Andrew,2003,Number of Businesses,32
4810061,Mundare,2003,Number of Businesses,37
4810062,Chipman,2003,Number of Businesses,10
4810064,Lamont,2003,Number of Businesses,85
4810066,Bruderheim,2003,Number of Businesses,46
4811001,Wetaskiwin County No. 10,2003,Number of Businesses,458
4811002,Wetaskiwin,2003,Number of Businesses,438
4817076,Northern Lights County,2003,Number of Businesses,99
4811011,Millet,2003,Number of Businesses,169
4811012,Leduc County,2003,Number of Businesses,701
4811013,Beaumont,2003,Number of Businesses,248
4811016,Leduc,2003,Number of Businesses,702
4811018,Devon,2003,Number of Businesses,205
4811019,Calmar,2003,Number of Businesses,144
4811021,Thorsby,2003,Number of Businesses,117
4811024,Warburg,2003,Number of Businesses,76
4811026,Breton,2003,Number of Businesses,100
4811031,Drayton Valley,2003,Number of Businesses,563
4811032,Brazeau County,2003,Number of Businesses,297
4811034,Parkland County,2003,Number of Businesses,1069
4811045,Wabamun,2003,Number of Businesses,50
4811046,Spring Lake,2003,Number of Businesses,62
4811048,Stony Plain,2003,Number of Businesses,431
4811049,Spruce Grove,2003,Number of Businesses,803
4811052,Strathcona County,2003,Number of Businesses,3003
4811056,Fort Saskatchewan,2003,Number of Businesses,455
4811059,Sturgeon County,2003,Number of Businesses,564
4811061,Edmonton,2003,Number of Businesses,29568
4811062,St. Albert,2003,Number of Businesses,1932
4811064,Gibbons,2003,Number of Businesses,127
4811065,Redwater,2003,Number of Businesses,147
4811066,Bon Accord,2003,Number of Businesses,50
4811068,Morinville,2003,Number of Businesses,193
4811069,Legal,2003,Number of Businesses,86
4811803,Louis Bull 138B,2003,Number of Businesses,46
4811804,Stony Plain 135,2003,Number of Businesses,18
4811805,Alexander 134,2003,Number of Businesses,6
4811806,Wabamun 133A,2003,Number of Businesses,29
4812002,Cold Lake,2003,Number of Businesses,481
4812004,Bonnyville No. 87,2003,Number of Businesses,159
4812009,Bonnyville,2003,Number of Businesses,655
4812012,Glendon,2003,Number of Businesses,46
4812014,St. Paul County No. 19,2003,Number of Businesses,504
4812016,Elk Point,2003,Number of Businesses,135
4812018,St. Paul,2003,Number of Businesses,20
4812022,Smoky Lake County,2003,Number of Businesses,34
4812024,Vilna,2003,Number of Businesses,26
4812026,Waskatenau,2003,Number of Businesses,21
4812029,Smoky Lake,2003,Number of Businesses,98
4815015,Bighorn No. 8,2003,Number of Businesses,391
4812802,Unipouheos 121,2003,Number of Businesses,6
4813061,Whispering Hills,2003,Number of Businesses,11
4812810,Cold Lake 149,2003,Number of Businesses,24
4813001,Lac Ste. Anne County,2003,Number of Businesses,101
4813002,Mayerthorpe,2003,Number of Businesses,173
4817031,Opportunity No. 17,2003,Number of Businesses,213
4813012,Alberta Beach,2003,Number of Businesses,52
4813014,Onoway,2003,Number of Businesses,158
4813019,Barrhead,2003,Number of Businesses,200
4813028,Westlock County,2003,Number of Businesses,148
4813029,Woodlands County,2003,Number of Businesses,136
4813030,Whitecourt,2003,Number of Businesses,725
4813031,Westlock,2003,Number of Businesses,402
4813032,Clyde,2003,Number of Businesses,47
4813036,Thorhild County No. 7,2003,Number of Businesses,35
4813044,Athabasca County,2003,Number of Businesses,379
4813048,Athabasca,2003,Number of Businesses,160
4813049,Island Lake,2003,Number of Businesses,5
4813051,Island Lake South,2003,Number of Businesses,1
4813055,South Baptiste,2003,Number of Businesses,2
4813057,West Baptiste,2003,Number of Businesses,1
4814003,Yellowhead County,2003,Number of Businesses,666
4814019,Hinton,2003,Number of Businesses,442
4814024,Edson,2003,Number of Businesses,501
4815007,Crowsnest Pass,2003,Number of Businesses,269
4815013,Kananaskis,2003,Number of Businesses,20
4815023,Canmore,2003,Number of Businesses,713
4815033,Jasper,2003,Number of Businesses,281
4815035,Banff,2003,Number of Businesses,413
4816037,Wood Buffalo,2003,Number of Businesses,1391
4816817,Janvier 194,2003,Number of Businesses,11
4816852,Dog Head 218,2003,Number of Businesses,17
4817021,High Prairie,2003,Number of Businesses,336
4817024,Swan Hills,2003,Number of Businesses,142
4817027,Big Lakes,2003,Number of Businesses,78
4817029,Slave Lake,2003,Number of Businesses,44
4817033,Lesser Slave River No.124,2003,Number of Businesses,636
4817825,Clear Hills 152C,2003,Number of Businesses,151
4817078,Manning,2003,Number of Businesses,190
4817093,High Level,2003,Number of Businesses,329
4817095,Mackenzie County,2003,Number of Businesses,349
4817097,Rainbow Lake,2003,Number of Businesses,73
4817819,Wabasca 166A,2003,Number of Businesses,6
4817829,Sucker Creek 150A,2003,Number of Businesses,15
4817835,Fox Lake 162,2003,Number of Businesses,1
4817845,Hay Lake 209,2003,Number of Businesses,7
